Entry,verb,stemlem,Positiv,Negativ,Strong,Weak,Active,Passive,Defined,commonness
KICK#1,kick,kick,,Negativ,Strong,,Active,,| 75% verb: To strike with one's foot,75.0
KICK#2,kick,kick,,,Strong,,Active,,"| 13% idiom-verb: 'kick off'--eject, expel, commence",13.0
KID#2,kid,kid,Positiv,,,,,,| 3% verb: To jest,3.0
KIDNAP,kidnap,kidnap,,Negativ,,,Active,,|,
KILL#1,kill,kill,,Negativ,Strong,,Active,,| 98% verb: To deprive of life; figuratively,98.0
KINDLE,kindle,kindl,,,,,,,,
KISS#2,kiss,kiss,Positiv,,,,Active,,|,
KNEEL,kneel,kneel,,,,Weak,,Passive,|,
KNELT,knelt,knelt,,,,Weak,,Passive,|,
KNEW,knew,know,,,,,,Passive,| verb: Past tense of 'know',
KNIFE#2,knife,knife,,Negativ,Strong,,,,| 3% verb: To stab,3.0
KNIT,knit,knit,,,,,,,,
KNOCK#3,knock,knock,,Negativ,Strong,,Active,,"| 39% verb: To knock down, over or out--to topple, dislodge, defeat, make unconscious",39.0
KNOW#1,know,know,,,,,,Passive,"| 92% verb: To perceive, understand, be acquainted with, to have fixed in  the mind, to be cognizant or aware of",92.0
KNOWN#1,known,know,,,,,,,| 82% verb: Past participle of 'know' sense 1,82.0
LABEL#2,label,label,,,,,,,|,
LABOR#3,labor,labor,,,Strong,,Active,,| 2% verb: To do hard work,2.0
LACK#2,lack,lack,,Negativ,,Weak,,Passive,"| 11% verb: To need, be deficient in",11.0
LAG,lag,lag,,Negativ,,Weak,,Passive,|,
LAID#2,laid,lay,,Negativ,,,,,"| 28% idiom-verb: ""Laid off""--discharged employees",28.0
LAIN,lain,lie,,,,,,,,
LAMENT,lament,lament,,Negativ,,,Active,,|,
LAND#2,land,land,,,,,Active,,"| 13% verb: To arrive, debark, deliver",13.0
LANGUISH,languish,languish,,Negativ,,Weak,,Passive,|,
LAST#4,last,last,,,Strong,,,,"| 6% verb: Endure, remain",6.0
LAUGH#2,laugh,laugh,Positiv,,,,,Passive,| 40% verb: To express mirth or amusement by laughter,40.0
LAUGH#3,laugh,laugh,,Negativ,,,Active,,"| 10% verb-idiom: ""Laugh at"" - ridicule, deride",10.0
LAUNCH,launch,launch,,,Strong,,Active,,|,
LAY#1,lay,lie,,,,,,Passive,"| 85% verb: Past tense of ""lie""--reclined, was or remained at a horizontal  position; was or remained in a specified place or condition (4); had intercourse  with (0)",85.0
LAY#2,lay,lie,,,,,Active,Passive,| 10% verb: To place or put; to have intercourse with (4); to produce eggs  (0); to knock or press down (0),10.0
LEAD#1,lead,lead,,,Strong,,Active,,"| 42% verb: To supply direction, orientation, guidance, to be in the vanguard",42.0
LEAD#2,lead,lead,,,,,Active,,"| 33% verb: To produce some effect, to result in, induce--""oppression leads  to violence""; to go towards (concrete)--""all roads lead to rome"" (6)",33.0
LEAGUE#2,league,leagu,,,Strong,,,,"| 5% idiom: ""In league with"", allied with",5.0
LEAK,leak,leak,,Negativ,,,,Passive,|,
LEAN#1,lean,lean,,,,Weak,,,"| 57% verb: To incline or bend from a vertical position, often resting on  something for support (mostly physical)",57.0
LEAP#2,leap,leap,,,,,Active,,|,
LEARN#1,learn,learn,,,,,Active,,"| 90% verb: To acquire knowledge of or skill in by study, instruction, or experience",90.0
LEAVE#1,leave,leav,,,,,Active,,"| 89% verb: Depart, quit, abandon, bequeath, cause to remain",89.0
LECTURE#2,lecture,lectur,,,,,Active,,|,
LEFT#3,left,leav,,,,,Active,,"| 75% verb: Departed, quit, abandoned, bequeathed, caused to remain",75.0
LEND,lend,lend,,,,,Active,,|,
LENT,lent,lend,,,,,Active,,|,
LESSEN,lessen,lessen,,,,,,,,
LETTER#4,letter,letter,,,,,Active,,| 1% verb: To mark with letters,1.0
LEVEL#2,level,level,,,Strong,,Active,,"| 1% verb: To make flat or horizontal, to aim",1.0
LIBERALIZE,liberalize,liber,,,,,,,,
LIBERATE,liberate,liber,Positiv,,,,Active,,|,
LICK,lick,lick,,,,,Active,,|,
LIE#1,lie,lie,,,,,,Passive,"| 64% verb: To recline, remain at a horizontal, be located",64.0
LIE#2,lie,lie,,Negativ,,,,,| 20% verb: To tell falsehoods,20.0
LIFT,lift,lift,,,Strong,,Active,,|,
LIGHT#2,light,light,,,,,Active,,"| 10% verb: To ignite, turn on",10.0
LIGHTEN,lighten,lighten,,,,,,,|,
LIKE#2,like,like,Positiv,,,,,Passive,"| 47% verb: To derive pleasure from, to find agreeable or congenial, to  feel attracted to someone or som",47.0
LIMIT#2,limit,limit,,Negativ,Strong,,Active,,| 19% verb: To restrict by or confine within limits,19.0
LINE#2,line,line,,,,,,,| 9% verb: All verb senses,9.0
LINK#2,link,link,,,,,Active,,|,
LIQUIDATE,liquidate,liquid,,Negativ,Strong,,Active,,|,
LIST#2,list,list,,,,,,,|,
LISTEN,listen,listen,,,,,,Passive,| verb: Attend closely for the purpose of hearing,
LIT,lit,light,,,,,Active,,|,
LIVE#1,live,live,,,Strong,,,,"| 79% verb: Exist, be alive, reside",79.0
LOAD#2,load,load,,,Strong,,Active,,"| 12% verb: To put on, fill, burden; bias (0)",12.0
LOAN#2,loan,loan,,,,,Active,,"| 10% verb: The act of lending, a grant of the temporary use of something",10.0
LOCATE,locate,locat,,,,,Active,,|,
LOCK#2,lock,lock,,,,,Active,,|,
LONG#3,long,long,,,,Weak,,Passive,| 2% verb: To yearn,2.0
LOOK#6,look,look,,,,,Active,,"| 11% verb-idiom: ""Look for""--to seek or search for, be on watch or expecting",11.0
LOOM,loom,loom,,Negativ,,,,Passive,|,
LOSE#1,lose,lose,,Negativ,,Weak,,Passive,| 77% verb: To come to be without,77.0
LOSE#2,lose,lose,,Negativ,,Weak,,,"| 20% verb: To be defeated, to fail",20.0
LOST#1,lost,lose,,Negativ,,Weak,,Passive,"| 59% verb-adj: Past tense of ""lose""--came to be without, no longer owned  by-- ""we lost our jobs,"" ""we are lost""",59.0
LOVE#1,love,love,Positiv,,,,,Passive,"| 48% verb: To have affection or strong liking for, especially for one of  opposite sex",48.0
LOWER#2,lower,low,,,Strong,,Active,,"| 36% verb: To reduce, let down",36.0
LURE,lure,lure,,Negativ,,,Active,,|,
LURK,lurk,lurk,,Negativ,,,Active,,|,
LYING#1,lying,lie,,,,,,Passive,"| 88% verb: To maintain a prostrate position (of people), to be located (of things)",88.0
MADE#1,made,make,,,,,,,|,
MAGNIFY,magnify,magnifi,,,Strong,,,,|,
MAIL#2,mail,mail,,,,,,,|,
MAINTAIN#1,maintain,maintain,,,Strong,,Active,,"| 86% verb: To preserve, continue, retain, keep in good condition",86.0
MAJOR#3,major,major,,,,,,,| 16% verb: To take a certain area as one's major,16.0
MAKE#1,make,make,,,Strong,,Active,,"| 77% verb: Create, produce, execute, construct; cause to be--""make him  happy,"" ""make sure"" (112); earn, acquire, attain--""make money"" (72); become,  comprise--""he will make ",77.0
MAKE#2,make,make,,Negativ,Strong,,Active,,"| 12% verb: Coerce, force to, cause to--""make him go""",12.0
MAN#2,man,man,,,,,,,| 0% verb: To furnish with men,0.0
MANAGE#2,manage,manag,,,Strong,,Active,,"| 69% verb-idiom: ""Manage to""--to succeed in accomplishing, contrive",69.0
MANGLE,mangle,mangl,,Negativ,,,Active,,|,
MANIFEST#2,manifest,manifest,,,,,,,,
MANIPULATE,manipulate,manipul,,Negativ,Strong,,Active,,|,
MANUFACTURE,manufacture,manufactur,,,Strong,,Active,,|,
MAR#2,mar,mar,,Negativ,Strong,,Active,,|,
MARCH#2,march,march,,,Strong,,Active,,| 29% verb: To walk with measured tread,29.0
MARK#3,mark,mark,,,,,Active,,"| 34% verb: To label, indicate, make a sign, to characterize",34.0
MARRY#1,marry,marri,Positiv,,,,,,| 83% verb: To take a husband or wife,83.0
MARVEL,marvel,marvel,Positiv,,,,Active,,|,
MASS#3,mass,mass,,,Strong,,,,| 3% verb: To form or collect into a mass,3.0
MASSACRE,massacre,massacr,,Negativ,,,Active,,|,
MASTER#2,master,master,,,Strong,,Active,,| 21% verb: To gain control of someone or something,21.0
MATCH#2,match,match,,,Strong,,Active,,|,
MATE#2,mate,mate,Positiv,,,,,,|,
MATRICULATE,matriculate,matricul,,,,,Active,,|,
MATTER#4,matter,matter,Positiv,,Strong,,,,| 12% verb: To be significant,12.0
MATURE#2,mature,matur,Positiv,,Strong,,,,"| 31% verb: To develop, become mature, come to fruition",31.0
MAXIMIZE,maximize,maxim,Positiv,,,,Active,,|,
MAY#1,may,may,,,,,,,"| 97% verb: Used to express possibility, opportunity, permission, or wish",97.0
MEAN#1,mean,mean,,,,,Active,,"| 71% verb: To intend, indicate, signify, imply--occurs 170 times in the  phrase ""i mean,"" used conversationally to connote precision or emphasis",71.0
MEANT,meant,mean,,,,,Active,,"| verb: Past tense of mean--to have signified, indicated, implied, intended",
MEASURE#2,measure,measur,,,,,Active,,"| 16% verb: To quantify, guage, to be of a specified dimension",16.0
MEDDLE,meddle,meddl,,Negativ,,,Active,,|,
MEDIATE,mediate,mediat,Positiv,,,,Active,,|,
MEET#1,meet,meet,,,,,Active,,"| 43% verb: Having to do with persons--to encounter, to be in the physical  presence of, to group with (of people)",43.0
MELT,melt,melt,,,,Weak,,,|,
MEND,mend,mend,Positiv,,,,Active,,|,
MENTION#1,mention,mention,,,,,,Passive,"| 97% verb: To speak of casually, to refer to, include passingly.",97.0
MERGE,merge,merg,,,,,,,,
MERIT#2,merit,merit,Positiv,,Strong,,,,|,
MESH,mesh,mesh,Positiv,,,,Active,,|,
MESS#2,mess,mess,,Negativ,,,,,| 10% verb: Make a mess of,10.0
MIGHT#1,might,may,,,,,,,"| 98% verb: Auxiliary verb, past tense of 'may'",98.0
MILL#2,mill,mill,,,,,,Passive,"| 0% verb: ""Mill around,"" ""mill about"" - move aimlessly",0.0
MINGLE,mingle,mingl,,,,,,,|,
MINIMIZE,minimize,minim,,,Strong,,Active,,|,
MINISTER#4,minister,minist,Positiv,,,,Active,,"| 3% verb: To care for, aid, service",3.0
MISBEHAVE,misbehave,misbehav,,Negativ,,,Active,,|,
MISGUIDE#2,misguide,misguid,,,,,,,,
MISHANDLE,mishandle,mishandl,,Negativ,,,Active,,|,
MISINFORM,misinform,misinform,,Negativ,,,Active,,|,
MISLEAD,mislead,mislead,,Negativ,,,Active,,|,
MISREPRESENT,misrepresent,misrepres,,Negativ,,,Active,,|,
MISS#1,miss,miss,,Negativ,,Weak,,,"| 80% verb: To fail to do or take advantage of, to escape, to notice or  regret the absence of",80.0
MISTAKE#3,mistake,mistak,,Negativ,,,,Passive,| 3% verb: To 'mistake' one thing for another --to confuse,3.0
MISTAKEN,mistaken,mistak,,Negativ,,,Active,,|,
MISTOOK,mistook,mistak,,,,,,,,
MISTREAT,mistreat,mistreat,,,,,,,,
MISTRUST,mistrust,mistrust,,Negativ,,,Active,,|,
MISUNDERSTAND,misunderstand,misunderstand,,Negativ,,,,Passive,|,
MISUNDERSTOOD,misunderstood,misunderstood,,Negativ,,,,Passive,|,
MITIGATE,mitigate,mitig,,,,,,,|,
MIX#1,mix,mix,,,,,Active,,"| 53% verb: To combine, mingle",53.0
MOAN,moan,moan,,Negativ,,,Active,,|,
MOBILIZE,mobilize,mobil,Positiv,,,,Active,,|,
MOCK,mock,mock,,Negativ,,,Active,,|,
MODIFY,modify,modifi,,,Strong,,Active,,|,
MOLD#2,mold,mold,,,Strong,,Active,,|,
MOLEST,molest,mol,,Negativ,,,Active,,|,
MONITOR,monitor,monitor,,,Strong,,,,|,
MORTGAGE#2,mortgage,mortgag,,,,,,,|,
MORTIFY,mortify,mortifi,,Negativ,,,,Passive,|,
MOTIVATE,motivate,motiv,Positiv,,,,Active,,|,
MOUNT#2,mount,mount,,,,,Active,,|,
MOURN#2,mourn,mourn,,Negativ,,Weak,,Passive,|,
MOUTH#3,mouth,mouth,,,,,,,"| 0% verb: To move the lips or speak, usually excessively or loudly",0.0
MOVE#1,move,move,,,Strong,,Active,,"| 82% verb: To change or cause to change place or position, to set in motion",82.0
MUDDLE,muddle,muddl,,Negativ,,,Active,,|,
MUFFLE#2,muffle,muffl,,,Strong,,Active,,|,
MULTIPLY,multiply,multipli,,,Strong,,Active,,|,
MUMBLE,mumble,mumbl,,Negativ,,,,,|,
MURDER#2,murder,murder,,Negativ,Strong,,Active,,|,
MURMUR#2,murmur,murmur,,,,Weak,,,|,
MUSTER,muster,muster,,,Strong,,Active,,|,
MUTTER,mutter,mutter,,Negativ,,Weak,,,|,
NAG#2,nag,nag,,Negativ,,,Active,,|,
NAIL#2,nail,nail,,,,,Active,,|,
NAME#2,name,name,,,,,,,"| 12% verb: To identify, call, designate",12.0
NATURALIZATION,naturalization,natur,,,,,,,,
NEAR#7,near,near,,,,,Active,,| 2% verb: To approach,2.0
NECESSITATE,necessitate,necessit,,,Strong,,,,|,
NEED#1,need,nee,,Negativ,,Weak,,Passive,"| 67% verb: To want, lack, require, have (to)",67.0
NEEDLE#2,needle,needl,,Negativ,,,Active,,|,
NEGATE,negate,negat,,Negativ,,,,,|,
NEGLECT#2,neglect,neglect,,Negativ,,,,,|,
NEGOTIATE,negotiate,negoti,Positiv,,,,Active,,|,
NEUTRALIZE,neutralize,neutral,,Negativ,Strong,,Active,,|,
NIX,nix,nix,,Negativ,,,,,|,
NOD#2,nod,nod,,,,,,,|,
NOMINATE,nominate,nomin,Positiv,,,,Active,,|,
NOTE#2,note,note,,,,,,Passive,"| 44% verb: To notice, recognize",44.0
NOTICE#1,notice,notic,,,,,,Passive,"| 86% verb: To perceive, to recognize, to note",86.0
NOURISH,nourish,nourish,Positiv,,,,Active,,|,
NULLIFY,nullify,nullifi,,Negativ,,,,,|,
NUMBER#4,number,number,,,,,,,"| 1% verb: To assign numbers to, to count, to comprise",1.0
NURSE#2,nurse,nurs,Positiv,,,,Active,,"| 5% verb: To care for, foster, cherish, nurture",5.0
NURTURE,nurture,nurtur,Positiv,,,,Active,,|,
OBEY,obey,obey,Positiv,,,Weak,,Passive,| verb: To comply,
OBJECT#3,object,object,,Negativ,,,Active,,| 19% verb: To voice aversion,19.0
OBLIGE,oblige,oblig,Positiv,,,Weak,,,|,
OBLITERATE,obliterate,obliter,,Negativ,,,,,|,
OBSERVE,observe,observ,,,,,,Passive,"| verb: To perceive or regard with attention, to remark, to notice",
OBSTRUCT,obstruct,obstruct,,Negativ,Strong,,Active,,|,
OBTAIN,obtain,obtain,Positiv,,Strong,,Active,,"| verb: To acquire, to procure",
OCCASION#2,occasion,occas,,,Strong,,Active,,"| 7% verb: To give cause for, to bring about",7.0
OCCUPY,occupy,occupi,,,Strong,,,,|,
OCCUR#1,occur,occur,,,,,,Passive,"| 86% verb: To happen, take place",86.0
OFFEND,offend,offend,,Negativ,,,Active,,|,
OFFER#1,offer,offer,Positiv,,,,Active,,"| 84% verb: To present, propose, give",84.0
OFFICIATE,officiate,offici,,,Strong,,,,|,
OFFSET,offset,offset,Positiv,,,,,Passive,|,
OMIT,omit,omit,,Negativ,,Weak,,Passive,|,
OPEN#4,open,open,,,,,Active,,| 39% verb: To render open,39.0
OPERATE#1,operate,oper,,,Strong,,Active,,"| 65% verb: To work, perform, function, manage",65.0
OPERATE#2,operate,oper,,,,,Active,,| 24% verb: To perform surgery,24.0
OPPOSE#1,oppose,oppos,,Negativ,Strong,,Active,,"| 41% verb: To resist, combat, place opposite",41.0
OPPRESS,oppress,oppress,,Negativ,,,Active,,|,
ORDAIN,ordain,ordain,,,,,,,,
ORGANIZE#1,organize,organ,Positiv,,Strong,,Active,,"| 75% verb: To establish, to systematize",75.0
ORIENT#2,orient,orient,,,,,,,|,
ORIGINATE,originate,origin,,,Strong,,Active,,|,
ORNAMENT#2,ornament,ornament,,,,,,,|,
OSTRACIZE,ostracize,ostrac,,Negativ,,,Active,,|,
OUST,oust,oust,,Negativ,Strong,,Active,,|,
OUTFIT#2,outfit,outfit,,,Strong,,Active,,|,
OUTLINE#2,outline,outlin,,,,,Active,,|,
OUTLIVE,outlive,outliv,Positiv,,Strong,,,Passive,|,
OUTPUT#2,output,output,,,Strong,,Active,,|,
OUTREACH,outreach,outreach,,,Strong,,Active,,|,
OUTRUN,outrun,outrun,Positiv,,Strong,,Active,,|,
OUTWIT,outwit,outwit,Positiv,,,,Active,,|,
OVERCAME,overcame,overcom,,,Strong,,Active,,|,
OVERCOME,overcome,overcom,Positiv,,Strong,,Active,,|,
OVERFLOW,overflow,overflow,,Negativ,,,,Passive,|,
OVERHAUL,overhaul,overhaul,,,Strong,,Active,,|,
OVERJOY,overjoy,overjoy,,,,,,,,
OVERLAP,overlap,overlap,,,,,,,,
OVERLOOK,overlook,overlook,,Negativ,,,,Passive,|,
OVERPOWER,overpower,overpow,,Negativ,Strong,,Active,,|,
OVERRIDE,override,overrid,,,,,,,,
OVERRODE,overrode,overrid,,,,,,,,
OVERRUN,overrun,overrun,,Negativ,Strong,,Active,,|,
OVERSIMPLIFY,oversimplify,oversimplifi,,,,,,,,
OVERTHROW,overthrow,overthrow,,Negativ,Strong,,Active,,|,
OVERTURN,overturn,overturn,,Negativ,,,Active,,|,
OVERWHELM,overwhelm,overwhelm,,,Strong,,,,|,
OWE,owe,owe,,Negativ,,Weak,,,|,
PACE#3,pace,pace,,,,,Active,,| 17% verb: To move with slow or measured steps,17.0
PACIFY,pacify,pacifi,,,,,,,,
PACK#2,pack,pack,,,,,Active,,"| 38% verb: To bundle together, put up for preservation or transportation, crowd",38.0
PAGE#2,page,page,,,,,,,|,
PAINT#2,paint,paint,,,,,Active,,"| 39% verb: To apply this substance, or represent with a paintbrush",39.0
PAMPER,pamper,pamper,Positiv,,,,Active,,|,
PAN#2,pan,pan,,,,,,,|,
PARACHUTE#2,parachute,parachut,,,,,,,"| 6% verb: To jump at a high altitude, using the apparatus above.",6.0
PARADE#2,parade,parad,,,,,Active,,|,
PARDON#2,pardon,pardon,Positiv,,Strong,,Active,,|,
PARK#2,park,park,,,,,,Passive,|,
PART#3,part,part,,,Strong,,Active,,| 1% verb: To separate or divide,1.0
PARTAKE,partake,partak,,,,,Active,,|,
PARTICIPATE#1,participate,particip,,,,,Active,,"| 95% verb: To partake of, to share in some action",95.0
PARTITION,partition,partit,,Negativ,,,,,|,
PARTOOK,partook,partook,,,,,Active,,|,
PASS#1,pass,pass,,,,,Active,,"| 60% verb: Indicates a general sense of motion in relationship to the speaker,  thus, in particular, circulate, leave behind, exceed",60.0
PASS#2,pass,pass,Positiv,,Strong,,,,"| 11% verb-adj: To undergo successfully (""pass an exam"")",11.0
PASTE#2,paste,past,,,,,,,|,
PATCH#2,patch,patch,,,,,Active,,|,
PATROL#2,patrol,patrol,,,Strong,,,,|,
PATRONIZE,patronize,patron,,Negativ,,,Active,,|,
PAUSE#2,pause,paus,,,,Weak,,,|,
PAY#1,pay,pay,,,,,Active,,| 80% verb: To give or yield as recompense or return,80.0
PEACE#2,peace,peac,Positiv,,,,Active,,"| 11% idiom-verb: ""Make peace,"" to end strife",11.0
PEAK#2,peak,peak,,,Strong,,,,|,
PEEL#2,peel,peel,,,,,Active,,|,
PEND#2,pend,pend,,,,,,Passive,|,
PENETRATE,penetrate,penetr,,,Strong,,Active,,|,
PEOPLE#2,people,peopl,,,,,,,| 0% verb: To populate,0.0
PERCEIVE,perceive,perceiv,,,,,,Passive,|,
PERFECT#3,perfect,perfect,Positiv,,Strong,,Active,,"| 3% verb: To make perfect, complete",3.0
PERFORM,perform,perform,,,,,Active,,|,
PERISH,perish,perish,,Negativ,,,,,|,
PERMIT#1,permit,permit,Positiv,,Strong,,,Passive,"| 94% verb: To allow, to make possible",94.0
PERPETUATE,perpetuate,perpetu,,,Strong,,Active,,|,
PERPLEX,perplex,perplex,,Negativ,,Weak,,,|,
PERSECUTE,persecute,persecut,,Negativ,,,Active,,|,
PERSEVERE,persevere,persever,Positiv,,Strong,,Active,,|,
PERSIST,persist,persist,,,Strong,,Active,,|,
PERSUADE,persuade,persuad,,,Strong,,Active,,|,
PERTURB,perturb,perturb,,Negativ,,,,,|,
PERVADE,pervade,pervad,,,,,,,,
PETITION#2,petition,petit,,,,Weak,Active,,|,
PHONE#2,phone,phone,,,,,,,|,
PHOTOGRAPH#2,photograph,photograph,,,,,,,|,
PICK#2,pick,pick,,,,,Active,,"| 59% verb: ""To pick up""--take up, gather or acquire; to give a ride to--  ""i went and picked him up at the station"" (11); to become more frequent  or rapid (0); to tidy (0); to be",59.0
PIN#2,pin,pin,,,,,,,|,
PINCH#2,pinch,pinch,,Negativ,,,Active,,|,
PIT#2,pit,pit,,,,,Active,,|,
PITCH#2,pitch,pitch,,,,,Active,,|,
PITY#2,pity,piti,,,,,,Passive,|,
PLACE#2,place,place,,,,,Active,,"| 11% verb: To put something in position, to arrange, to dispose",11.0
PLAGUE#2,plague,plagu,,Negativ,Strong,,,,|,
PLAN#2,plan,plan,,,Strong,,Active,,| 35% verb: To construct such a program,35.0
PLANE#3,plane,plane,,,,,Active,,| 0% verb: To level,0.0
PLANT#1,plant,plant,,,,,Active,,"| 42% verb: To put or set in the ground for growth, also to establish (0)  or implant (0)",42.0
PLAY#1,play,play,,,,,Active,,"| 87% verb: To perform some activity for recreation--playing games, sports,  also, playing a musical instrument (27)",87.0
PLEAD,plead,plead,,,,Weak,,Passive,|,
PLEASE#2,please,pleas,Positiv,,,,,,"| 23% verb: To satisfy, to make enjoyable for",23.0
PLEDGE,pledge,pledg,Positiv,,,,Active,,|,
PLOD,plod,plod,,Negativ,,Weak,Active,,|,
PLOT#2,plot,plot,,Negativ,Strong,,Active,,|,
PLOW#2,plow,plow,,,,,Active,,|,
PLUG#2,plug,plug,,,,,Active,,|,
PLUNDER,plunder,plunder,,,,,,,,
PLUNGE#2,plunge,plung,,,,,,Passive,|,
POINT#3,point,point,,,,,Active,,"| 23% verb: To observe, note, indicate, call attention to, emphasize",23.0
POISE#2,poise,pois,,,,,,Passive,|,
POLARIZE,polarize,polar,,,,,,,,
POLISH,polish,polish,Positiv,,,,Active,,|,
POLLUTE,pollute,pollut,,Negativ,,,Active,,|,
PONDER,ponder,ponder,,,,,,Passive,|,
POOL#2,pool,pool,,,,,,,|,
POPULATE,populate,popul,,,,,,,|,
POSE#2,pose,pose,,,,,,Passive,|,
POSSESS,possess,possess,,,Strong,,,,|,
POST#4,post,post,,,,,Active,,"| 7% verb: To affix to a post, wall, etc. for public notices; publicly (0);  to mail (0)",7.0
POSTPONE#2,postpone,postpon,,,,,Active,,|,
POUND#2,pound,pound,,Negativ,Strong,,Active,,"| 27% verb: To strike heavily or repeatedly, pommel",27.0
POUR,pour,pour,,,,,Active,,"| verb: To cause to flow or flood, to give or come forth freely or abundantly",
POUT,pout,pout,,Negativ,,,,,|,
PRACTICE#1,practice,practic,,,,,Active,,"| 61% verb: To repeatedly or customarily perform an act or custom, often  for the sake of improvement",61.0
PRAISE#2,praise,prais,Positiv,,,,Active,,|,
PRANCE,prance,pranc,Positiv,,,,Active,,|,
PRAY,pray,pray,,,,,,,| verb: To offer devout petition,
PRECEDE#2,precede,preced,,,,,,,|,
PRECIPITATE,precipitate,precipit,,Negativ,,,,,|,
PREDICT,predict,predict,,,,,,Passive,|,
PREDOMINATE,predominate,predomin,,,Strong,,,,|,
PREFER,prefer,prefer,,,,,,Passive,"| verb: Like better, have preference for",
PREOCCUPY,preoccupy,preoccupi,,,,,,,|,
PREPARE#1,prepare,prepar,,,Strong,,Active,,"| 73% verb: To put things or oneself in readiness, to compose beforehand",73.0
PRESCRIBE,prescribe,prescrib,,,,,,,,
PRESENT#3,present,present,,,,,Active,,"| 20% verb: To bestow, proffer, show, introduce, manifest",20.0
PRESERVE,preserve,preserv,,,Strong,,Active,,|,
PRESIDE,preside,presid,,,Strong,,Active,,|,
PRESS#3,press,press,,,Strong,,Active,,| 43% verb: To exert pressure physically or verbally,43.0
PRESSURE#2,pressure,pressur,,,Strong,,Active,,| 14% verb: To attempt to influence or force,14.0
PRESUME,presume,presum,,,,,,Passive,|,
PRETEND,pretend,pretend,,Negativ,,,Active,,"| verb: To hold out the appearance of being, doing, having, feeling, etc., feign.",
PREVAIL,prevail,prevail,,,Strong,,Active,,|,
PREVENT,prevent,prevent,,,Strong,,Active,,"| verb: Hinder, keep from occurring",
PREVENTION,prevention,prevent,,,Strong,,,,|,
PRINT#2,print,print,,,,,Active,,|,
PROCEED#1,proceed,proceed,,,,,Active,,"| 86% verb: To move, pass, or go forward or onward, to advance, to begin or carry on",86.0
PROCESS#2,process,process,,,,,Active,,| 3% verb: To prepare by some particular series of actions,3.0
PROCLAIM,proclaim,proclaim,,,Strong,,,,|,
PROCRASTINATE,procrastinate,procrastin,,Negativ,,Weak,Active,,|,
PROCURE,procure,procur,,,Strong,,Active,,|,
PROD,prod,prod,,Negativ,Strong,,,,|,
PRODUCE#1,produce,produc,,,Strong,,Active,,"| 89% verb: To bring into existence or sight, create, make",89.0
PROFESS,profess,profess,Positiv,,,,Active,,|,
PROFFER,proffer,proffer,Positiv,,,,Active,,|,
PROFIT#2,profit,profit,Positiv,,Strong,,,,|,
PROGRAM#2,program,program,,,,,Active,,| 0% verb: To prepare a program for (computer or otherwise),0.0
PROGRESS#2,progress,progress,Positiv,,Strong,,Active,,| 27% verb: To move towards a goal or generally forward,27.0
PROHIBIT,prohibit,prohibit,,Negativ,Strong,,Active,,|,
PROJECT#2,project,project,,,Strong,,Active,,"| 4% verb: To forecast, look forward, extrapolate, externalize onto, place  onto (abstract)",4.0
PROLONG,prolong,prolong,,,Strong,,Active,,|,
PROMISE#2,promise,promis,,,,,,,| 48% verb: To make such a declaration,48.0
PROMOTE,promote,promot,,,Strong,,Active,,|,
PROMPT#2,prompt,prompt,Positiv,,Strong,,,,|,
PROMULGATE,promulgate,promulg,,,,,,,,
PROPHESIZE,prophesize,prophes,,,,,,,,
PROPOSE#1,propose,propos,,,,,Active,,| verb: To offer or suggest for consideration,
PROSECUTE,prosecute,prosecut,Positiv,,,,Active,,|,
PROSPER,prosper,prosper,Positiv,,,,,Passive,|,
PROTECT,protect,protect,Positiv,,Strong,,Active,,"| verb: To defend or guard from attack, damage, loss, etc.",
PROTEST#2,protest,protest,,Negativ,,,Active,,|,
PROVE#1,prove,prove,,,Strong,,Active,,| 65% verb: To establish beyond all reasonable doubt,65.0
PROVE#2,prove,prove,,,Strong,,,Passive,"| 33% verb: Turn out (to be)--""prove difficult,"" ""prove to be""",33.0
PROVIDE#1,provide,provid,Positiv,,Strong,,,,"| 97% verb: To furnish, supply, afford",97.0
PROVOKE,provoke,provok,,Negativ,Strong,,Active,,|,
PROWL,prowl,prowl,,Negativ,,,Active,,|,
PRY,pry,pri,,Negativ,,,,,|,
PUBLISH,publish,publish,,,,,Active,,|,
PULL,pull,pull,,,Strong,,Active,,"| verb: To tug at, draw, drag, move",
PUMP#2,pump,pump,,,,,Active,,|,
PUNCH,punch,punch,,Negativ,,,Active,,|,
PUNISH,punish,punish,,Negativ,Strong,,Active,,|,
PURCHASE#2,purchase,purchas,,,,,Active,,|,
PURIFY,purify,purifi,Positiv,,,,Active,,|,
PURR,purr,purr,Positiv,,,,Active,,|,
PURSUE,pursue,pursu,,,Strong,,Active,,"| verb: To chase, follow, follow up",
PUSH#1,push,push,,Negativ,Strong,,Active,,| 89% verb-adj: To exert force or pressure on something (or someone) in  order to move it (them),89.0
PUT#1,put,put,,,,,Active,,"| 98% verb: To place, present, or thrust something",98.0
PUZZLE#2,puzzle,puzzl,,,,,,,|,
QUALIFY#1,qualify,qualifi,Positiv,,Strong,,,,"| 28% verb: To meet some set of standards, ensure satisfaction of such standards",28.0
QUALIFY#2,qualify,qualifi,,,Strong,,,,| 16% verb: To impose conditions on the validity of a statement,16.0
QUARREL#2,quarrel,quarrel,,Negativ,,,Active,,|,
